SubjectID,Day,Job Name,Action Type,Accepted/Worked On,Parts Completed,Soft Deadline Remaining,Hard Deadline Remaining,Current Payment,Payment Received
1,1,1-0,Offer,0,,,,,
1,1,1-1,Offer,1,,,,,
1,1,1-2,Offer,1,,,,,
1,1,1-3,Offer,0,,,,,
2,1,1-0,Offer,1,,,,,
2,1,1-1,Offer,1,,,,,
2,1,1-2,Offer,0,,,,,
2,1,1-3,Offer,0,,,,,
3,1,1-0,Offer,1,,,,,
3,1,1-1,Offer,1,,,,,
3,1,1-2,Offer,0,,,,,
3,1,1-3,Offer,1,,,,,
4,1,1-0,Offer,0,,,,,
4,1,1-1,Offer,1,,,,,
4,1,1-2,Offer,0,,,,,
4,1,1-3,Offer,1,,,,,
5,1,1-0,Offer,1,,,,,
5,1,1-1,Offer,1,,,,,
5,1,1-2,Offer,0,,,,,
5,1,1-3,Offer,1,,,,,
6,1,1-0,Offer,1,,,,,
6,1,1-1,Offer,1,,,,,
6,1,1-2,Offer,1,,,,,
6,1,1-3,Offer,1,,,,,
7,1,1-0,Offer,1,,,,,
7,1,1-1,Offer,1,,,,,
7,1,1-2,Offer,1,,,,,
7,1,1-3,Offer,1,,,,,
8,1,1-0,Offer,1,,,,,
8,1,1-1,Offer,0,,,,,
8,1,1-2,Offer,1,,,,,
8,1,1-3,Offer,1,,,,,
9,1,1-0,Offer,1,,,,,
9,1,1-1,Offer,1,,,,,
9,1,1-2,Offer,1,,,,,
9,1,1-3,Offer,1,,,,,
10,1,1-0,Offer,0,,,,,
10,1,1-1,Offer,1,,,,,
10,1,1-2,Offer,1,,,,,
10,1,1-3,Offer,1,,,,,
11,1,1-0,Offer,0,,,,,
11,1,1-1,Offer,1,,,,,
11,1,1-2,Offer,1,,,,,
11,1,1-3,Offer,1,,,,,
12,1,1-0,Offer,1,,,,,
12,1,1-1,Offer,1,,,,,
12,1,1-2,Offer,0,,,,,
12,1,1-3,Offer,0,,,,,
13,1,1-0,Offer,0,,,,,
13,1,1-1,Offer,1,,,,,
13,1,1-2,Offer,1,,,,,
13,1,1-3,Offer,1,,,,,
14,1,1-0,Offer,0,,,,,
14,1,1-1,Offer,1,,,,,
14,1,1-2,Offer,1,,,,,
14,1,1-3,Offer,0,,,,,
15,1,1-0,Offer,1,,,,,
15,1,1-1,Offer,1,,,,,
15,1,1-2,Offer,0,,,,,
15,1,1-3,Offer,1,,,,,
16,1,1-0,Offer,1,,,,,
16,1,1-1,Offer,1,,,,,
16,1,1-2,Offer,0,,,,,
16,1,1-3,Offer,1,,,,,
17,1,1-0,Offer,1,,,,,
17,1,1-1,Offer,0,,,,,
17,1,1-2,Offer,1,,,,,
17,1,1-3,Offer,1,,,,,
1,2,2-0,Offer,0,,,,,
1,2,2-1,Offer,0,,,,,
1,2,2-2,Offer,1,,,,,
1,2,1-1,Work,1,5,6,8,16,
1,2,1-2,Work,1,2,9,16,23,
2,2,2-0,Offer,1,,,,,
2,2,2-1,Offer,0,,,,,
2,2,2-2,Offer,0,,,,,
2,2,1-0,Work,1,7,8,13,11,
2,2,1-1,Work,1,5,6,8,16,
3,2,2-0,Offer,0,,,,,
3,2,2-1,Offer,0,,,,,
3,2,2-2,Offer,0,,,,,
3,2,1-0,Work,1,7,8,13,11,
3,2,1-1,Work,1,5,6,8,16,
3,2,1-3,Work,1,4,6,8,6,
4,2,2-0,Offer,1,,,,,
4,2,2-1,Offer,0,,,,,
4,2,2-2,Offer,1,,,,,
4,2,1-1,Work,1,5,6,8,16,
4,2,1-3,Work,1,4,6,8,6,
5,2,2-0,Offer,0,,,,,
5,2,2-1,Offer,0,,,,,
5,2,2-2,Offer,1,,,,,
5,2,1-0,Work,1,7,8,13,11,
5,2,1-1,Work,1,5,6,8,16,
5,2,1-3,Work,1,4,6,8,6,
6,2,2-0,Offer,0,,,,,
6,2,2-1,Offer,0,,,,,
6,2,2-2,Offer,1,,,,,
6,2,1-0,Work,1,7,8,13,11,
6,2,1-1,Work,1,5,6,8,16,
6,2,1-2,Work,1,2,9,16,23,
6,2,1-3,Work,1,4,6,8,6,
7,2,2-0,Offer,0,,,,,
7,2,2-1,Offer,0,,,,,
7,2,2-2,Offer,0,,,,,
7,2,1-0,Work,1,7,8,13,11,
7,2,1-1,Work,1,5,6,8,16,
7,2,1-2,Work,1,2,9,16,23,
7,2,1-3,Work,1,4,6,8,6,
8,2,2-0,Offer,1,,,,,
8,2,2-1,Offer,0,,,,,
8,2,2-2,Offer,0,,,,,
8,2,1-0,Work,1,7,8,13,11,
8,2,1-2,Work,1,2,9,16,23,
8,2,1-3,Work,1,4,6,8,6,
9,2,2-0,Offer,0,,,,,
9,2,2-1,Offer,0,,,,,
9,2,2-2,Offer,0,,,,,
9,2,1-0,Work,1,7,8,13,11,
9,2,1-1,Work,1,5,6,8,16,
9,2,1-2,Work,1,2,9,16,23,
9,2,1-3,Work,1,4,6,8,6,
10,2,2-0,Offer,1,,,,,
10,2,2-1,Offer,0,,,,,
10,2,2-2,Offer,0,,,,,
10,2,1-1,Work,1,5,6,8,16,
10,2,1-2,Work,1,2,9,16,23,
10,2,1-3,Work,1,4,6,8,6,
11,2,2-0,Offer,0,,,,,
11,2,2-1,Offer,0,,,,,
11,2,2-2,Offer,0,,,,,
11,2,1-1,Work,1,5,6,8,16,
11,2,1-2,Work,1,2,9,16,23,
11,2,1-3,Work,1,4,6,8,6,
12,2,2-0,Offer,1,,,,,
12,2,2-1,Offer,0,,,,,
12,2,2-2,Offer,1,,,,,
12,2,1-0,Work,1,7,8,13,11,
12,2,1-1,Work,1,5,6,8,16,
13,2,2-0,Offer,0,,,,,
13,2,2-1,Offer,0,,,,,
13,2,2-2,Offer,1,,,,,
13,2,1-1,Work,0,0,6,8,16,
13,2,1-2,Work,0,0,9,16,23,
13,2,1-3,Work,1,4,6,8,6,
14,2,2-0,Offer,0,,,,,
14,2,2-1,Offer,0,,,,,
14,2,2-2,Offer,0,,,,,
14,2,1-1,Work,1,5,6,8,16,
14,2,1-2,Work,1,2,9,16,23,
15,2,2-0,Offer,0,,,,,
15,2,2-1,Offer,0,,,,,
15,2,2-2,Offer,1,,,,,
15,2,1-0,Work,1,7,8,13,11,
15,2,1-1,Work,1,5,6,8,16,
15,2,1-3,Work,1,4,6,8,6,
16,2,2-0,Offer,1,,,,,
16,2,2-1,Offer,0,,,,,
16,2,2-2,Offer,0,,,,,
16,2,1-0,Work,1,7,8,13,11,
16,2,1-1,Work,1,5,6,8,16,
16,2,1-3,Work,1,4,6,8,6,
17,2,2-0,Offer,0,,,,,
17,2,2-1,Offer,1,,,,,
17,2,2-2,Offer,1,,,,,
17,2,1-0,Work,1,7,8,13,11,
17,2,1-2,Work,1,2,9,16,23,
17,2,1-3,Work,1,4,6,8,6,
1,3,1-1,Work,0,5,5,7,16,
1,3,1-2,Work,1,6,8,15,23,
1,3,2-2,Work,1,1,9,12,118,
2,3,1-0,Work,1,10,8,13,11,11
2,3,1-1,Work,1,6,5,7,16,
2,3,2-0,Work,1,7,7,10,40,
3,3,1-0,Work,1,10,8,13,11,11
3,3,1-1,Work,1,6,5,7,16,
3,3,1-3,Work,1,5,5,7,6,
4,3,1-1,Work,1,6,5,7,16,
4,3,1-3,Work,1,5,5,7,6,
4,3,2-0,Work,1,7,7,10,40,
4,3,2-2,Work,1,1,9,12,118,
5,3,1-0,Work,1,10,8,13,11,11
5,3,1-1,Work,1,6,5,7,16,
5,3,1-3,Work,1,5,5,7,6,
5,3,2-2,Work,1,1,9,12,118,
6,3,1-0,Work,0,7,7,12,11,
6,3,1-1,Work,0,5,5,7,16,
6,3,1-2,Work,1,6,8,15,23,
6,3,1-3,Work,1,5,5,7,6,
6,3,2-2,Work,1,1,9,12,118,
7,3,1-0,Work,1,10,8,13,11,11
7,3,1-1,Work,1,6,5,7,16,
7,3,1-2,Work,1,6,8,15,23,
7,3,1-3,Work,1,5,5,7,6,
8,3,1-0,Work,1,10,8,13,11,11
8,3,1-2,Work,1,6,8,15,23,
8,3,1-3,Work,1,5,5,7,6,
8,3,2-0,Work,1,7,7,10,40,
9,3,1-0,Work,1,10,8,13,11,11
9,3,1-1,Work,1,6,5,7,16,
9,3,1-2,Work,1,6,8,15,23,
9,3,1-3,Work,1,5,5,7,6,
10,3,1-1,Work,1,6,5,7,16,
10,3,1-2,Work,1,6,8,15,23,
10,3,1-3,Work,1,5,5,7,6,
10,3,2-0,Work,1,7,7,10,40,
11,3,1-1,Work,1,6,5,7,16,
11,3,1-2,Work,1,6,8,15,23,
